Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,19.595200,20.991800,18.249500,19.332399,19.332399,166860000
2018-01-02,19.344601,22.235600,18.727699,20.295500,20.295500,229552992
2018-01-03,20.148199,20.979401,19.074900,20.540001,20.540001,139039008
2018-01-04,20.597900,21.936800,19.625200,19.930799,19.930799,150260000
2018-01-05,19.805901,20.403999,18.123400,18.688299,18.688299,138392992
2018-01-06,18.702999,19.755699,18.115499,19.306101,19.306101,99421600
2018-01-07,19.307301,24.411900,19.282301,24.411900,24.411900,250608992
2018-01-08,24.394600,28.351900,20.685301,23.889099,23.889099,382895008
2018-01-09,23.841499,26.107401,22.921101,25.290899,25.290899,191508992
2018-01-10,25.398701,25.398701,21.899401,23.346901,23.346901,137934000
2018-01-11,23.455700,23.823900,19.337299,21.656601,21.656601,122602000
2018-01-12,21.697701,23.180000,20.850401,22.835199,22.835199,83835504
2018-01-13,22.829399,26.073099,22.659201,25.716999,25.716999,120921000
2018-01-14,25.720800,25.810301,22.240601,23.826200,23.826200,74017296
2018-01-15,23.697800,24.615601,22.461100,22.461100,22.461100,91802400
2018-01-16,22.504801,22.504801,13.905700,17.375299,17.375299,132224000
2018-01-17,17.301300,18.911699,12.410700,18.056400,18.056400,114904000
2018-01-18,18.230499,19.447500,17.156401,17.729300,17.729300,87971600
2018-01-19,17.623699,18.936701,17.078501,18.432600,18.432600,72477800
2018-01-20,18.630400,19.952900,18.630400,19.711100,19.711100,89103800
2018-01-21,19.735300,19.737200,16.407600,16.965500,16.965500,55861100
2018-01-22,17.136700,17.963699,14.222900,15.655800,15.655800,70101200
2018-01-23,15.657200,16.616600,14.303000,16.045300,16.045300,58931400
2018-01-24,16.047899,18.497499,15.479900,17.850000,17.850000,72241696
2018-01-25,18.049000,19.119801,16.670401,17.957701,17.957701,79337504
2018-01-26,17.925200,18.579100,14.931900,16.575300,16.575300,145708992
2018-01-27,16.600100,16.765600,15.790600,15.975100,15.975100,99130000
2018-01-28,16.057301,17.290100,15.773100,17.089199,17.089199,83798896
2018-01-29,17.150600,17.350500,16.039499,16.906900,16.906900,46635600
2018-01-30,16.890301,17.856501,14.672000,14.916100,14.916100,96893296
2018-01-31,14.900400,15.854000,14.155400,15.742100,15.742100,71504304
2018-02-01,15.850100,15.949300,13.254200,13.985900,13.985900,60157800
2018-02-02,13.969300,13.969300,10.538500,13.252000,13.252000,62454300
2018-02-03,13.352000,14.297200,12.202600,14.054600,14.054600,31593400
2018-02-04,14.088200,14.160000,11.717400,12.062400,12.062400,36225800
2018-02-05,11.922800,12.675300,8.745860,9.266800,9.266800,45236500
2018-02-06,9.307310,11.393800,7.390390,11.369000,11.369000,56968000
2018-02-07,11.320300,12.548300,10.173100,10.902500,10.902500,36639600
2018-02-08,10.882500,12.255500,10.882500,11.894100,11.894100,31563700
2018-02-09,12.211400,13.209900,11.562600,13.199000,13.199000,41973800
2018-02-10,13.198800,13.883200,11.928400,12.513000,12.513000,43385500
2018-02-11,12.541300,12.665100,11.056700,11.855600,11.855600,29981600
2018-02-12,11.948300,13.004700,11.933400,12.841200,12.841200,24588600
2018-02-13,12.880600,13.056700,12.310800,12.994600,12.994600,23326000
2018-02-14,12.970800,15.718400,12.970800,15.661400,15.661400,91650800
2018-02-15,15.628700,16.712601,14.992800,16.669500,16.669500,54142700
2018-02-16,16.673100,18.229700,16.029100,18.168400,18.168400,81337504
2018-02-17,18.166700,18.638000,17.688900,18.288099,18.288099,59295600
2018-02-18,18.323400,18.408701,16.351500,16.655300,16.655300,42287800
2018-02-19,16.491800,18.366600,16.324499,17.687300,17.687300,54814700
2018-02-20,17.718100,20.203501,17.707600,18.403601,18.403601,109202000
2018-02-21,18.321100,19.543200,17.387501,18.058599,18.058599,110798000
2018-02-22,18.054600,18.719801,15.964200,16.601999,16.601999,65150100
2018-02-23,16.536301,17.963301,15.833500,17.573099,17.573099,63981000
2018-02-24,17.507401,18.459499,16.494499,16.751499,16.751499,51605900
2018-02-25,16.722000,17.482300,16.323200,16.770000,16.770000,36436400
2018-02-26,16.771601,18.205900,16.286100,17.966700,17.966700,37163300
2018-02-27,18.011801,20.897100,17.795799,20.138201,20.138201,114453000
2018-02-28,20.132500,20.929701,18.618000,18.618000,18.618000,108895000
2018-03-01,18.613100,19.945400,18.460899,19.214800,19.214800,67000600
2018-03-02,19.190800,19.360701,17.815800,18.515699,18.515699,50691600
2018-03-03,18.520500,19.021000,17.721701,17.899099,17.899099,49308100
2018-03-04,17.878599,18.477699,17.088100,17.943399,17.943399,39416700
2018-03-05,17.958000,18.079300,17.160801,17.217899,17.217899,39490400
2018-03-06,17.201200,17.201200,15.572700,15.859400,15.859400,38911600
2018-03-07,15.868200,16.461599,13.708000,14.500700,14.500700,52446000
2018-03-08,14.473200,15.266200,13.372800,13.741200,13.741200,41855800
2018-03-09,13.724600,15.107200,11.754300,15.016300,15.016300,59857400
2018-03-10,15.010300,15.364200,13.254600,13.441000,13.441000,44982900
2018-03-11,13.413200,14.984100,12.853100,14.678600,14.678600,30486600
2018-03-12,14.660800,14.842200,13.470300,13.777900,13.777900,23439900
2018-03-13,13.737800,14.136400,12.982400,13.753100,13.753100,24721000
2018-03-14,13.611600,13.752100,11.344900,11.693200,11.693200,28942400
2018-03-15,11.700500,11.726500,10.342600,11.314000,11.314000,44593200
2018-03-16,11.325000,11.827100,10.827800,11.218400,11.218400,28698800
2018-03-17,11.223200,11.262400,9.822480,9.864670,9.864670,30985800
2018-03-18,9.827080,10.529700,8.441350,10.467100,10.467100,39837300
2018-03-19,10.519100,11.446800,10.059500,11.446800,11.446800,42172600
2018-03-20,11.541200,12.533500,10.662700,12.084800,12.084800,46839900
2018-03-21,12.152100,12.652700,11.565000,11.855500,11.855500,33733200
2018-03-22,11.862100,12.389700,10.777300,11.568900,11.568900,36755900
2018-03-23,11.534400,11.534400,10.585900,11.501000,11.501000,30954000
2018-03-24,11.587100,11.764000,11.026900,11.103800,11.103800,29693200
2018-03-25,11.027800,11.149300,10.663000,10.880700,10.880700,21690300
2018-03-26,10.866200,10.925100,9.465680,10.338900,10.338900,31909400
2018-03-27,10.334900,10.383700,9.381880,9.772950,9.772950,23759900
2018-03-28,9.747660,10.241800,9.676610,9.725830,9.725830,20930600
2018-03-29,9.731430,9.802840,8.346770,8.458260,8.458260,34338700
2018-03-30,8.433980,8.674470,8.004330,8.280480,8.280480,31776100
2018-03-31,8.282410,8.729530,8.156960,8.234650,8.234650,21296300
2018-04-01,8.225950,8.419280,7.522550,8.092330,8.092330,24526400
2018-04-02,8.119350,9.394620,8.068030,8.752660,8.752660,48495000
2018-04-03,8.790870,9.781770,8.706900,9.519360,9.519360,38323300
2018-04-04,9.496300,9.496300,8.187020,8.250210,8.250210,29824900
2018-04-05,8.243570,9.635920,8.102070,8.935160,8.935160,86820000
2018-04-06,8.876830,9.507940,8.745260,9.320400,9.320400,63649300
2018-04-07,9.290500,9.610610,9.106800,9.392830,9.392830,31193800
2018-04-08,9.392970,9.661190,9.241210,9.558640,9.558640,22099000
2018-04-09,9.580370,9.817790,8.918610,9.096490,9.096490,29849700
2018-04-10,9.097440,9.301630,8.903910,9.248780,9.248780,28200500
2018-04-11,9.237890,9.817440,9.237780,9.817440,9.817440,37589500
2018-04-12,9.799880,12.197800,9.470450,12.021200,12.021200,119743000
2018-04-13,12.039100,16.056000,11.654800,12.667100,12.667100,349808992
2018-04-14,12.981900,13.957300,12.981900,13.664000,13.664000,109430000
2018-04-15,13.879500,14.358900,13.822500,14.103100,14.103100,68222200
2018-04-16,14.102000,15.594400,13.200600,15.444300,15.444300,222730000
2018-04-17,15.358800,15.685300,14.211100,14.241700,14.241700,151960000
2018-04-18,14.564000,15.152700,14.355200,15.019600,15.019600,84420304
2018-04-19,15.023500,15.957400,14.913400,15.730200,15.730200,125155000
2018-04-20,15.715900,16.402300,15.252100,16.231501,16.231501,126297000
2018-04-21,16.267200,16.267200,14.481500,15.397100,15.397100,91124800
2018-04-22,15.365600,15.890300,15.129100,15.191000,15.191000,57141600
2018-04-23,15.189600,15.940100,15.157100,15.854600,15.854600,58387200
2018-04-24,15.840200,18.651400,15.780200,18.157499,18.157499,153864992
2018-04-25,18.048100,18.048100,14.867300,15.586100,15.586100,122642000
2018-04-26,15.719600,21.369101,15.188800,18.222000,18.222000,675097984
2018-04-27,18.171499,19.018299,17.413300,17.413300,17.413300,143819008
2018-04-28,17.358101,18.302601,17.308599,18.080500,18.080500,79047200
2018-04-29,18.077700,18.462900,17.144899,18.093300,18.093300,93513696
2018-04-30,18.050400,18.055901,16.805901,16.952600,16.952600,68967800
2018-05-01,16.985201,17.082701,16.071501,16.992399,16.992399,58684400
2018-05-02,16.963100,17.289700,16.687700,17.243000,17.243000,73425104
2018-05-03,17.239401,18.711800,17.109100,18.216400,18.216400,134736992
2018-05-04,18.184099,18.184099,17.200701,17.812300,17.812300,70046496
2018-05-05,17.802700,17.905399,17.359301,17.385599,17.385599,55580400
2018-05-06,17.399500,17.631001,16.501400,16.921700,16.921700,45342000
2018-05-07,16.919100,16.959700,15.789300,16.610300,16.610300,51355400
2018-05-08,16.679300,16.884800,15.831100,16.046600,16.046600,43030100
2018-05-09,16.040100,16.675400,15.387000,16.178499,16.178499,48365400
2018-05-10,16.184000,16.388000,15.311300,15.311300,15.311300,45211900
2018-05-11,15.298900,15.298900,13.156300,13.373800,13.373800,58339000
2018-05-12,13.330500,14.114000,12.634600,13.704500,13.704500,39982700
2018-05-13,13.723100,14.653300,13.433600,14.276700,14.276700,39654500
2018-05-14,14.250500,14.596100,13.306600,14.246400,14.246400,46665600
2018-05-15,14.237600,14.479400,13.518800,13.570800,13.570800,32125800
2018-05-16,13.545300,13.548400,12.832200,13.167500,13.167500,32027500
2018-05-17,13.165500,13.577300,12.291700,12.411500,12.411500,38815700
2018-05-18,12.377400,12.777200,12.108400,12.524500,12.524500,38880800
2018-05-19,12.519600,12.881500,12.369400,12.508400,12.508400,32444300
2018-05-20,12.518700,13.244100,12.405200,13.020000,13.020000,37409600
2018-05-21,13.036100,13.135000,12.324900,12.574400,12.574400,28183300
2018-05-22,12.570400,12.909700,11.474300,11.527300,11.527300,27751100
2018-05-23,11.507100,11.604000,10.129500,10.647100,10.647100,46023500
2018-05-24,10.633000,11.340600,10.223900,11.151100,11.151100,47290900
2018-05-25,11.186800,11.477300,10.606200,10.723300,10.723300,40454300
2018-05-26,10.713300,11.158700,10.547800,10.778200,10.778200,35272400
2018-05-27,10.782800,10.782800,10.276900,10.419100,10.419100,39393500
2018-05-28,10.421500,10.588800,9.613910,9.638140,9.638140,36995300
2018-05-29,9.638580,10.752900,9.561230,10.520600,10.520600,45009000
2018-05-30,10.522900,10.839100,9.979690,10.329100,10.329100,45997000
2018-05-31,10.307400,10.887400,10.291400,10.549500,10.549500,50501700
2018-06-01,10.560500,10.843800,10.371000,10.811600,10.811600,58000500
2018-06-02,10.807300,11.833900,10.706000,11.552700,11.552700,79031200
2018-06-03,11.549700,12.304000,11.549700,11.778200,11.778200,65306600
2018-06-04,11.792900,12.007500,10.921800,11.097300,11.097300,57932500
2018-06-05,11.115400,11.476100,10.640300,11.305600,11.305600,48334800
2018-06-06,11.325900,11.363800,10.802900,11.071700,11.071700,48931100
2018-06-07,11.062500,11.980600,11.062500,11.432000,11.432000,44687900
